parl_const,parl_const_name,Average max download speed (Mbit/s) for lines <10Mbit/s,Average max download speed (Mbit/s) for lines 10<30Mbit/s,Average max download speed (Mbit/s) for lines 30<100Mbit/s,Average max download speed (Mbit/s) for lines 100<300Mbit/s,Average max download speed (Mbit/s) for lines 300<900Mbit/s,Average max download speed (Mbit/s) for lines >=900Mbit/s,Average max upload speed (Mbit/s) for lines <10Mbit/s,Average max upload speed (Mbit/s) for lines 10<30Mbit/s,Average max upload speed (Mbit/s) for lines 30<100Mbit/s,Average max upload speed (Mbit/s) for lines 100<300Mbit/s,Average max upload speed (Mbit/s) for lines 300<900Mbit/s,Average max upload speed (Mbit/s) for lines >=900Mbit/s
E14001491,South Ribble,6.5,21.1,62,185,463,1063,1,2.1,15,27,59,130
E14001492,South Shields,6.1,20.2,62,204,432,1117,0.9,1.9,14.5,24,46,114
E14001493,South Shropshire,7.4,22.8,62,159,452,1002,0.6,1.3,15,40,116,190
E14001494,South Suffolk,6.7,21.8,62,162,473,1014,1.1,2.1,15.2,48,209,331
E14001495,South West Devon,6.7,21.4,60,195,448,1087,0.9,1.5,14.3,30,78,144
E14001496,South West Hertfordshire,5.7,21.2,63,185,468,1065,0.9,2.4,15.2,31,79,238
E14001497,South West Norfolk,6.8,21.5,62,163,486,1016,0.9,2,15,44,118,323
E14001498,South West Wiltshire,6.6,21.3,63,191,455,1087,1.2,1.7,15.2,30,78,162
E14001499,Southampton Itchen,6.7,21.1,62,194,436,930,1,1.5,14.7,37,84,792
E14001500,Southampton Test,6.7,21.1,63,196,424,923,1,1.5,15.1,29,54,819
E14001501,Southend East and Rochford,7.1,20.9,65,175,465,1017,1.2,1.4,18.3,35,108,538
E14001502,Southend West and Leigh,6.4,20.9,66,169,472,993,1.1,1.5,19.1,41,152,666
E14001503,Southgate and Wood Green,6.4,21.2,65,194,448,1083,1.2,2,15.5,34,97,438
E14001504,Southport,6.8,20.5,64,176,443,1081,1.3,2,15.4,27,54,120
E14001505,Spelthorne,6.8,20.4,65,186,465,1059,0.9,1.3,15.6,31,69,153
E14001506,Spen Valley,6.5,20.4,62,184,457,1046,1.1,1.8,16.1,30,76,358
E14001507,St Albans,6.1,21.3,66,186,465,1066,0.9,1.7,15.9,30,74,174
E14001508,St Austell and Newquay,6.7,21.2,62,158,470,998,0.9,1.5,15,30,67,118
E14001509,St Helens North,6.3,21,60,192,454,1095,1,1.9,14.1,28,78,199
E14001510,St Helens South and Whiston,6.3,20.1,61,192,457,1085,0.9,1.9,14.3,30,84,239
E14001511,St Ives,6.5,22.1,62,161,443,1000,0.8,1.2,14.9,32,65,120
E14001512,St Neots and Mid Cambridgeshire,6.4,21.9,64,188,453,1063,0.9,1.5,15.4,28,78,153
E14001513,Stafford,6.6,21.6,62,190,454,1076,0.9,1.8,14.8,26,57,120
E14001514,Staffordshire Moorlands,6.8,21.2,61,186,464,1092,0.9,1.6,14.5,35,107,387
E14001515,Stalybridge and Hyde,6.6,20.2,63,174,480,1060,1.2,2.1,15.5,34,95,338
E14001516,Stevenage,6.3,21,64,197,446,1097,1.1,1.8,14.9,27,57,135
S14000105,Stirling and Strathallan,6.7,22,63,155,473,979,0.8,1.4,17,56,210,716
E14001517,Stockport,6.5,20.6,64,187,462,1081,0.9,1.8,15.6,35,142,321
E14001518,Stockton North,6.1,20.9,61,203,431,1122,0.8,1.2,13.2,23,45,107
E14001519,Stockton West,6.7,21.1,61,202,437,1114,0.8,1.3,14.2,24,47,106
E14001520,Stoke-on-Trent Central,6,20.8,61,199,437,1112,1,1.6,14.3,24,48,116
E14001521,Stoke-on-Trent North,6.1,20.6,61,195,445,1096,1.1,2.1,14.3,25,56,167
E14001522,Stoke-on-Trent South,6.4,21,60,186,449,1082,1,2.4,14.3,27,59,163
E14001523,"Stone, Great Wyrley and Penkridge",6.7,21.6,63,181,475,1064,0.9,1.8,15.1,28,90,186
E14001524,Stourbridge,6.3,20.1,61,194,448,1098,1,1.9,14.1,41,166,417
N05000016,Strangford,6.6,21.2,63,162,453,1023,0.7,1.4,15.5,29,81,134
E14001525,Stratford and Bow,6.7,21,66,166,477,1008,1.2,1.8,15.3,91,312,851
E14001526,Stratford-on-Avon,6.6,21.9,64,169,480,1027,1,1.6,15.5,36,106,218
E14001527,Streatham and Croydon North,5.9,21.4,66,180,463,1064,1.1,1.5,16.2,48,158,685
E14001528,Stretford and Urmston,6.2,20.7,64,185,460,1071,1,1.9,15.4,38,132,306
E14001529,Stroud,6.6,21.7,63,190,466,1001,1.1,1.8,15.3,99,331,376
E14001530,Suffolk Coastal,6.9,21.7,63,171,470,1040,0.9,1.7,15.2,34,95,336
E14001531,Sunderland Central,6.4,20.8,63,189,445,1060,1,1.8,16,30,68,423
E14001532,Surrey Heath,5.9,21.3,65,202,442,1015,1.2,2.9,15.4,32,86,484
E14001533,Sussex Weald,6.8,21,62,157,492,1024,1,2.2,14.9,42,139,344
E14001534,Sutton and Cheam,5.8,20.9,65,187,458,1075,1.1,1.8,15.7,47,164,713
E14001535,Sutton Coldfield,6.9,20.7,63,193,456,1083,1,1.5,15.1,27,64,160
W07000108,Swansea West,6.5,20.4,62,190,450,1084,1.1,1.8,14.5,26,55,121
E14001536,Swindon North,6.6,21.7,66,179,470,1026,0.9,1.3,18.4,33,84,432
E14001537,Swindon South,6.4,20.9,66,182,466,1032,1.2,1.6,18.8,32,87,469
E14001538,Tamworth,6.2,20.3,63,193,450,1094,1,2.2,15.1,26,59,169
E14001539,Tatton,6.6,22.1,62,175,467,1056,1.1,1.9,15,30,82,179
E14001540,Taunton and Wellington,6.7,22.1,61,160,475,979,1,1.7,14.9,60,147,197
E14001541,Telford,6.7,20,64,197,444,1102,1.2,1.9,15.1,24,49,107
E14001542,Tewkesbury,6.5,22.6,63,195,447,1069,0.8,1.3,15.5,40,160,230
E14001543,The Wrekin,6.9,21.8,63,189,448,1083,0.9,1.7,15,27,65,126
E14001544,Thirsk and Malton,7.4,22.4,64,166,486,1021,0.8,1.5,15.4,65,141,325
E14001545,Thornbury and Yate,6.5,21.1,63,191,460,1066,1,1.9,15,29,109,167
E14001546,Thurrock,5.8,20.9,63,188,465,1066,1,1.7,15.1,30,69,168
E14001547,Tipton and Wednesbury,7.1,19.6,64,189,457,1079,1.3,2.2,15.5,25,55,111
E14001548,Tiverton and Minehead,6.6,21.9,62,160,466,975,0.7,1.2,16,56,226,301
E14001549,Tonbridge,6.5,21.9,63,182,468,1060,1,1.8,15.1,31,91,183
E14001550,Tooting,5.5,20.7,67,173,476,1050,1.1,1.5,17,56,208,744
E14001551,Torbay,6.3,21.6,61,180,467,1067,1,1.5,14.7,26,57,109
W07000109,Torfaen,6.5,20.7,62,187,438,1079,1,2.1,14.8,25,50,117
E14001552,Torridge and Tavistock,7.3,22.7,62,157,470,986,0.7,1.3,15,46,128,188
E14001553,Tottenham,6.6,20.6,66,184,459,1060,1.2,2.1,16,47,165,679
E14001554,Truro and Falmouth,6.6,22,63,159,465,998,0.9,1.3,15.2,30,66,116
E14001555,Tunbridge Wells,6.4,21.6,64,174,476,1035,0.9,2,15.4,33,103,241
E14001556,Twickenham,6.4,21.8,67,191,458,1079,0.9,1.5,16.1,31,80,306
E14001557,Tynemouth,6.4,21.1,64,192,448,1084,0.9,1.4,15.5,26,53,157
N05000017,Upper Bann,6.7,20.6,63,171,466,1031,0.9,1.5,15.7,28,72,125
E14001558,Uxbridge and South Ruislip,6.2,21.4,66,191,461,1087,1,1.7,16.1,33,88,426
W07000110,Vale of Glamorgan,6.7,20.9,64,177,467,1037,1,1.9,15.3,26,58,111
E14001559,Vauxhall and Camberwell Green,5.8,21.3,66,174,473,1001,1.2,1.5,16.1,79,288,790
E14001560,Wakefield and Rothwell,6.6,21,63,182,459,1049,1,1.7,16.3,30,71,325
E14001561,Wallasey,6.4,20.3,63,176,474,1054,0.9,1.7,15.4,27,61,120
E14001562,Walsall and Bloxwich,6.3,20.3,63,189,455,1075,1.3,2.5,15.5,27,59,143
E14001563,Walthamstow,6.6,20.8,67,187,458,1056,1.1,1.4,16.1,48,166,731
E14001564,Warrington North,5.9,20.4,63,190,456,1083,1.1,2.4,15,25,52,110
E14001565,Warrington South,5.9,21,63,192,457,1085,1.1,2.1,15.1,25,54,115
E14001566,Warwick and Leamington,6.2,21.1,66,191,444,1091,1.2,2.3,15.9,26,57,138
E14001567,Washington and Gateshead South,5.9,20.3,60,199,437,1095,1,2.4,14.4,26,51,234
E14001568,Watford,6.5,20.4,66,188,465,1069,1.2,2,16,33,89,292
E14001569,Waveney Valley,6.7,22.2,63,159,471,1007,0.9,1.7,15.3,44,153,368
E14001570,Weald of Kent,6.8,22.1,62,161,493,1047,0.7,1.7,14.9,42,142,378
E14001571,Wellingborough and Rushden,6.1,20.8,64,183,464,1062,1,1.8,15.8,27,67,204
E14001572,Wells and Mendip Hills,7,22.1,62,170,471,963,0.8,1.6,16.8,104,352,482
E14001573,Welwyn Hatfield,6.4,21.2,64,191,453,1084,1.1,2,15.3,29,86,174
S14000111,West Aberdeenshire and Kincardine,7.6,22.6,63,154,499,998,0.7,1.5,14.9,29,67,116
E14001574,West Bromwich,6.5,20.2,64,191,451,1083,1.1,1.9,15.4,30,80,211
E14001575,West Dorset,6.6,22.2,64,165,486,989,0.9,1.4,15.4,52,135,154
S14000106,West Dunbartonshire,6.8,20,64,202,434,1109,1,1.5,15.1,24,46,152
E14001576,West Ham and Beckton,6.2,20.7,66,175,475,1020,1.2,2.3,15.7,78,291,810
E14001577,West Lancashire,6.1,21,62,164,472,1049,0.9,1.8,14.9,30,71,193
E14001578,West Suffolk,6.1,21.1,63,172,473,1067,1,1.9,15.1,35,124,316
N05000018,West Tyrone,7.5,22.5,61,153,424,1015,0.6,1.4,14.8,30,89,159
E14001579,West Worcestershire,6.7,22.3,63,158,486,1017,0.9,1.8,15.1,45,141,358
E14001580,Westmorland and Lonsdale,6.6,21.8,63,157,469,1006,0.8,1.4,15.2,30,88,733
E14001581,Weston-super-Mare,6.5,20.7,62,179,463,1046,1.2,2,15.3,31,96,288
E14001582,Wetherby and Easingwold,6.5,22,63,171,486,1030,0.9,1.7,15.1,47,116,262
E14001583,Whitehaven and Workington,6.2,20.5,65,156,448,989,1,1.7,15.6,31,102,284
E14001584,Widnes and Halewood,6,20,63,183,466,1067,1.1,2.3,15.3,27,60,123
E14001585,Wigan,6.9,20.7,61,195,450,1095,1.1,1.7,14.4,25,52,112
E14001586,Wimbledon,5.9,21.2,68,187,464,1084,0.9,1.5,16.4,39,119,545
E14001587,Winchester,6.6,22.1,64,193,457,1085,0.9,1.8,15.2,31,101,299
E14001588,Windsor,6.3,21.4,65,186,462,1067,1,1.6,15.7,34,125,314
E14001589,Wirral West,6.6,20.5,61,171,485,1043,1.1,2.1,14.9,31,87,218
E14001590,Witham,6.7,21.4,63,183,458,1013,1.2,1.9,15.3,71,273,386
E14001591,Witney,7.1,22.2,64,183,454,993,0.7,1.6,15.8,66,272,466
E14001592,Woking,6.5,20.7,64,198,446,1047,1,2.3,15.3,28,69,366
E14001593,Wokingham,6.7,21.3,65,187,461,1043,1,1.5,16.3,41,188,533
E14001594,Wolverhampton North East,6.4,20.8,62,187,453,1051,1,2.2,16,28,68,384
E14001595,Wolverhampton South East,6.6,19.3,62,188,451,1061,1.2,2.2,15.9,27,61,316
E14001596,Wolverhampton West,6.8,20.3,62,188,447,1043,1.2,1.7,16.5,29,70,458
E14001597,Worcester,6.3,20.8,65,155,508,1000,1.1,2.3,16.9,42,159,549
E14001598,Worsley and Eccles,6.2,20.6,63,182,470,1064,1,1.5,15.2,27,63,123
E14001599,Worthing West,6.7,20.6,63,180,459,1034,1.1,1.8,16.1,32,84,427
W07000111,Wrexham,6.6,21.2,62,181,465,1062,1.2,2.4,14.9,27,57,115
E14001600,Wycombe,6.3,20.4,65,178,439,960,1.2,2.8,15.7,46,148,711
E14001601,Wyre Forest,6.5,20.7,62,185,467,1085,1,2.1,14.8,34,102,298
E14001602,Wythenshawe and Sale East,6,20.6,64,185,465,1080,0.9,1.9,15.4,37,145,329
E14001603,Yeovil,6.1,21.6,63,166,470,998,0.9,2,15.2,64,158,170
W07000112,Ynys Môn,7.1,22.4,63,158,488,998,0.8,1.5,15.2,29,68,115
E14001604,York Central,6.9,21.7,66,181,449,1015,0.9,1.2,17.5,33,95,502
E14001605,York Outer,6.4,21.4,61,181,436,1012,1,1.9,15.6,42,106,523
