parl_const,parl_const_name,Average max download speed (Mbit/s) for lines <10Mbit/s,Average max download speed (Mbit/s) for lines 10<30Mbit/s,Average max download speed (Mbit/s) for lines 30<100Mbit/s,Average max download speed (Mbit/s) for lines 100<300Mbit/s,Average max download speed (Mbit/s) for lines 300<900Mbit/s,Average max download speed (Mbit/s) for lines >=900Mbit/s,Average max upload speed (Mbit/s) for lines <10Mbit/s,Average max upload speed (Mbit/s) for lines 10<30Mbit/s,Average max upload speed (Mbit/s) for lines 30<100Mbit/s,Average max upload speed (Mbit/s) for lines 100<300Mbit/s,Average max upload speed (Mbit/s) for lines 300<900Mbit/s,Average max upload speed (Mbit/s) for lines >=900Mbit/s
E14001139,Broxbourne,5.9,20.8,64,198,447,1091,1,2.1,15.2,26,59,142
E14001140,Broxtowe,6.4,20.6,62,190,456,1081,1,2,14.7,26,59,139
E14001141,Buckingham and Bletchley,6.5,22.8,66,158,488,967,0.8,1.3,18.2,69,292,723
E14001142,Burnley,6.3,20.4,63,182,465,1077,1.2,2.2,15.2,39,161,379
E14001143,Burton and Uttoxeter,6.2,21.4,63,185,461,1073,0.9,2.7,15.1,28,65,155
E14001144,Bury North,6.6,20.2,64,178,468,1061,1.1,2.2,15.6,29,76,215
E14001145,Bury South,6.5,20.7,63,178,472,1055,1.2,1.9,15.5,27,60,119
E14001146,Bury St Edmunds and Stowmarket,6.3,21,64,154,502,999,1,2.1,16.3,39,120,474
W07000087,Caerfyrddin,7.3,22.7,64,157,498,997,0.7,1.2,15.3,29,69,115
W07000088,Caerphilly,6,20.4,63,172,465,1019,1,2.2,15.3,27,58,159
S14000069,"Caithness, Sutherland and Easter Ross",7.7,23.2,60,138,366,1270,0.6,1.2,14.3,91,278,1028
E14001147,Calder Valley,6.4,21.3,60,174,469,1059,1.1,1.8,14.4,60,234,518
E14001148,Camborne and Redruth,7,21.8,63,160,492,997,0.9,1.3,15.3,32,69,118
E14001149,Cambridge,6.4,21.8,68,182,453,1014,0.9,1.3,19.3,36,129,563
E14001150,Cannock Chase,6.3,20.1,63,176,513,1080,1.3,2.2,15.3,54,222,511
E14001151,Canterbury,6.5,20.7,62,160,477,1044,1.4,2.6,14.9,36,117,304
W07000089,Cardiff East,5.7,20.2,63,189,453,1075,1,2.1,14.7,26,58,142
W07000090,Cardiff North,6.1,20.1,64,182,468,1059,0.9,2.2,15.3,27,59,120
W07000091,Cardiff South and Penarth,6.3,20.8,65,181,460,1033,0.8,1.5,15.4,38,98,245
W07000092,Cardiff West,6.3,19.9,63,187,459,1074,1.1,2.3,15.1,26,55,111
E14001152,Carlisle,6.6,21.5,64,174,467,1057,0.9,1.9,15.4,27,63,125
E14001153,Carshalton and Wallington,6.1,21.5,64,191,453,1075,1.2,2.1,15.5,45,151,728
E14001154,Castle Point,6.8,20.2,62,190,459,1076,1.3,2.2,14.9,29,63,160
S14000109,Central Ayrshire,6.4,20.4,61,185,463,1075,0.9,1.7,14.6,26,56,111
E14001155,Central Devon,7.4,23.1,61,159,482,999,0.6,1.2,14.8,37,93,151
E14001156,Central Suffolk and North Ipswich,6.5,21.5,64,172,479,1031,0.9,1.8,15.5,33,97,378
W07000093,Ceredigion Preseli,7.7,23.3,64,157,496,999,0.6,1,15.5,29,69,115
E14001157,Chatham and Aylesford,5.8,21,61,197,446,1100,1.1,2.4,14.4,25,52,120
E14001158,Cheadle,6.7,21,64,191,464,1079,1,1.8,15.3,31,95,212
E14001159,Chelmsford,6.7,21,64,180,469,1057,1.2,2,15.7,35,102,237
E14001160,Chelsea and Fulham,6.3,21.4,69,172,461,1027,0.9,1.3,17,71,255,786
E14001161,Cheltenham,6,21.5,66,189,445,1074,1.1,1.9,16.2,27,60,240
E14001162,Chesham and Amersham,6.4,20.9,64,184,456,1008,1.2,2.2,15.4,37,109,374
E14001163,Chester North and Neston,6.3,21.2,63,169,467,1040,1,2.2,15.1,30,64,185
E14001164,Chester South and Eddisbury,6.8,22.1,62,158,479,1006,0.9,1.5,15,34,96,167
E14001165,Chesterfield,6.3,21.5,61,185,450,1075,1.3,2.9,14.8,29,77,129
E14001166,Chichester,6.5,21,62,163,480,1008,1,2.1,15.4,44,139,589
E14001167,Chingford and Woodford Green,6.6,20.1,64,187,463,1079,0.9,1.8,15.5,39,118,597
E14001168,Chippenham,6.6,21.4,64,171,481,1034,0.9,1.7,15.5,42,176,189
E14001169,Chipping Barnet,6.7,21.1,66,185,460,1081,1.2,2.1,16,48,150,632
E14001170,Chorley,6.1,20.6,62,179,466,1058,1.1,2.2,14.9,26,58,120
E14001171,Christchurch,6.6,20.9,60,182,458,1041,1.1,2.5,14.8,38,120,628
E14001172,Cities of London and Westminster,5.6,22.7,70,153,460,983,0.7,1,17.5,103,316,828
E14001173,City of Durham,6.1,21.3,63,160,485,1009,1.1,2.3,15.3,31,71,137
E14001174,Clacton,6.1,20.8,62,151,506,1046,1,2,15,63,275,579
E14001175,Clapham and Brixton Hill,6.4,21.5,66,177,465,1032,1.3,1.6,16.4,62,224,780
W07000094,Clwyd East,6.7,21.6,63,157,498,998,0.9,1.6,15.5,29,69,115
W07000095,Clwyd North,6.2,21.1,63,156,503,996,1,1.8,15.7,29,70,115
S14000070,Coatbridge and Bellshill,6.4,20.2,63,202,440,1112,0.9,1.6,14.7,24,49,115
E14001176,Colchester,6.2,21.4,64,197,447,1098,1,2,15.2,28,63,134
E14001177,Colne Valley,6.3,21.3,61,185,456,1054,0.9,1.9,15,30,66,294
E14001178,Congleton,6.6,20.5,62,167,500,1046,1.2,2.1,15.1,43,186,419
E14001179,Corby and East Northamptonshire,6.6,21.3,65,190,458,1066,1.1,1.7,15.8,41,168,228
E14001180,Coventry East,6.2,19.9,65,176,469,1007,1.1,1.6,20.4,35,108,599
E14001181,Coventry North West,6.5,20.7,66,175,471,1011,0.9,1.4,20.8,35,100,546
E14001182,Coventry South,6.5,20.9,66,172,474,1001,0.9,1.3,21,37,111,589
